np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,250,100,0.004,3.60012e-05,7.86781e-06,4.3869e-05,4.3869e-08,0.00228882,0.190735,0.193024,24000,8000,32000,0.6
10000,250,100,0.4,0.000669241,0.000665665,0.00133491,1.33491e-08,0.228882,0.190735,0.419617,2.4e+06,800000,3.2e+06,31.3
1000000,250,100,40,0.077177,0.075068,0.152245,1.52245e-08,22.8882,0.190735,23.0789,2.4e+08,8e+07,3.2e+08,3352.3
100000000,250,100,4000,5.87403,6.20917,12.0832,1.20832e-08,2288.82,0.190735,2289.01,2.4e+10,8e+09,3.2e+10,337598
