Nx,Ny,np,num_threads,t_interp_s,t_mover_plain_s,t_mover_with_del_s,t_total_s,speedup_plain,speedup_with_del
500,200,14000000,1,2.85983,0.894156,0.886304,3.74614,1,1
500,200,14000000,2,1.69884,0.466044,0.457666,2.15651,1.91861,1.93657
500,200,14000000,4,1.00132,0.355229,0.356178,1.3575,2.51713,2.48837
500,200,14000000,8,1.00818,0.363752,0.370036,1.37821,2.45815,2.39519
500,200,14000000,16,0.858749,0.382356,0.386832,1.24558,2.33854,2.29119
