np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,250,100,0.004,3.71933e-05,7.39098e-06,4.45843e-05,4.45843e-08,0.00228882,0.190735,0.193024,24000,8000,32000,0.5
10000,250,100,0.4,0.000665665,0.000666857,0.00133252,1.33252e-08,0.228882,0.190735,0.419617,2.4e+06,800000,3.2e+06,34.6
1000000,250,100,40,0.0665836,0.0686965,0.13528,1.3528e-08,22.8882,0.190735,23.0789,2.4e+08,8e+07,3.2e+08,3396.3
100000000,250,100,4000,5.87338,6.24094,12.1143,1.21143e-08,2288.82,0.190735,2289.01,2.4e+10,8e+09,3.2e+10,337704
