Nx,Ny,np,num_threads,t_interp_s,t_mover_plain_s,t_mover_with_del_s,t_total_s,speedup_plain,speedup_with_del
250,100,14000000,1,2.75797,0.902064,0.921637,3.67961,1,1
250,100,14000000,2,1.65818,0.492645,0.518132,2.17632,1.83106,1.77877
250,100,14000000,4,1.00363,0.374539,0.393701,1.39733,2.40846,2.34095
250,100,14000000,8,0.978081,0.388326,0.409629,1.38771,2.32296,2.24993
250,100,14000000,16,0.862151,0.401727,0.426077,1.28823,2.24547,2.16307
