np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,500,200,0.001,0.000128031,8.34465e-06,0.000136375,1.36375e-07,0.00228882,0.762939,0.765228,24000,8000,32000,0.3
10000,500,200,0.1,0.000722647,0.000606537,0.00132918,1.32918e-08,0.228882,0.762939,0.991821,2.4e+06,800000,3.2e+06,16.6
1000000,500,200,10,0.0674925,0.0685689,0.136061,1.36061e-08,22.8882,0.762939,23.6511,2.4e+08,8e+07,3.2e+08,1659.6
100000000,500,200,1000,5.90118,6.17267,12.0738,1.20738e-08,2288.82,0.762939,2289.58,2.4e+10,8e+09,3.2e+10,167577
