np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,1000,400,0.00025,0.000944138,8.58307e-06,0.000952721,9.52721e-07,0.00228882,3.05176,3.05405,24000,8000,32000,0.3
10000,1000,400,0.025,0.00149918,0.000645399,0.00214458,2.14458e-08,0.228882,3.05176,3.28064,2.4e+06,800000,3.2e+06,8.1
1000000,1000,400,2.5,0.0889163,0.0697522,0.158669,1.58669e-08,22.8882,3.05176,25.9399,2.4e+08,8e+07,3.2e+08,834.8
100000000,1000,400,250,7.67799,6.33849,14.0165,1.40165e-08,2288.82,3.05176,2291.87,2.4e+10,8e+09,3.2e+10,83530.9
