Nx,Ny,np,num_threads,t_interp_s,t_mover_plain_s,t_mover_with_del_s,t_total_s,speedup_plain,speedup_with_del
250,100,14000000,1,2.89727,0.970714,0.925075,3.82235,1,1
250,100,14000000,2,1.66409,0.493166,0.476315,2.14041,1.96833,1.94215
250,100,14000000,4,0.981221,0.375298,0.372351,1.35357,2.58652,2.48441
250,100,14000000,8,0.949165,0.366367,0.37178,1.32095,2.64956,2.48823
250,100,14000000,16,0.863603,0.382236,0.383585,1.24719,2.53957,2.41166
