np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,500,200,0.001,0.000420809,2.59876e-05,0.000446796,4.46796e-07,0.00228882,0.762939,0.765228,24000,8000,32000,0.3
10000,500,200,0.1,0.00284553,0.00241733,0.00526285,5.26285e-08,0.228882,0.762939,0.991821,2.4e+06,800000,3.2e+06,15.6
1000000,500,200,10,0.254504,0.24331,0.497814,4.97814e-08,22.8882,0.762939,23.6511,2.4e+08,8e+07,3.2e+08,1673.5
100000000,500,200,1000,25.6653,25.2614,50.9267,5.09267e-08,2288.82,0.762939,2289.58,2.4e+10,8e+09,3.2e+10,167488
1000000000,500,200,10000,248.842,241.383,490.226,4.90226e-08,22888.2,0.762939,22888.9,2.4e+11,8e+10,3.2e+11,1.67523e+06
