np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,1000,400,0.00025,0.00168967,2.6226e-05,0.0017159,1.7159e-06,0.00228882,3.05176,3.05405,24000,8000,32000,0.2
10000,1000,400,0.025,0.00396228,0.00238466,0.00634694,6.34694e-08,0.228882,3.05176,3.28064,2.4e+06,800000,3.2e+06,8.8
1000000,1000,400,2.5,0.268373,0.240189,0.508562,5.08562e-08,22.8882,3.05176,25.9399,2.4e+08,8e+07,3.2e+08,832.7
100000000,1000,400,250,25.034,23.9472,48.9812,4.89812e-08,2288.82,3.05176,2291.87,2.4e+10,8e+09,3.2e+10,83379.7
1000000000,1000,400,2500,250.05,239.388,489.438,4.89438e-08,22888.2,3.05176,22891.2,2.4e+11,8e+10,3.2e+11,834493
