np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,1000,400,0.00025,0.00160694,2.69413e-05,0.00163388,1.63388e-06,0.00228882,3.05176,3.05405,24000,8000,32000,0.3
10000,1000,400,0.025,0.00396061,0.00238562,0.00634623,6.34623e-08,0.228882,3.05176,3.28064,2.4e+06,800000,3.2e+06,8.1
1000000,1000,400,2.5,0.270916,0.240121,0.511037,5.11037e-08,22.8882,3.05176,25.9399,2.4e+08,8e+07,3.2e+08,834.8
100000000,1000,400,250,25.0346,24.0099,49.0445,4.90445e-08,2288.82,3.05176,2291.87,2.4e+10,8e+09,3.2e+10,83530.9
1000000000,1000,400,2500,250.074,240.214,490.288,4.90288e-08,22888.2,3.05176,22891.2,2.4e+11,8e+10,3.2e+11,835478
