Nx,Ny,np,num_threads,t_interp_s,t_mover_plain_s,t_mover_with_del_s,t_total_s,speedup_plain,speedup_with_del
250,100,14000000,1,5.43612,3.42429,3.50208,8.9382,1,1
250,100,14000000,2,5.17331,1.72679,1.76393,6.93723,1.98304,1.98539
250,100,14000000,4,4.31538,1.00491,1.06307,5.37845,3.40757,3.29431
250,100,14000000,8,2.51333,0.547163,0.563491,3.07682,6.25827,6.21497
250,100,14000000,16,2.15139,0.457375,0.490135,2.64152,7.48684,7.14513
