Nx,Ny,np,num_threads,t_interp_s,t_mover_plain_s,t_mover_with_del_s,t_total_s,speedup_plain,speedup_with_del
1000,400,14000000,1,6.11584,3.42164,3.47356,9.5894,1,1
1000,400,14000000,2,4.05239,1.69925,1.69609,5.74848,2.01361,2.04799
1000,400,14000000,4,3.88206,0.991785,0.977649,4.85971,3.44998,3.55298
1000,400,14000000,8,2.40102,0.538449,0.53285,2.93387,6.35462,6.51883
1000,400,14000000,16,1.91139,0.396653,0.366858,2.27825,8.62627,9.46842
