np,Nx,Ny,ppc,total_interp_s,total_mover_s,total_s,time_per_particle_s,mem_particles_MB,mem_mesh_MB,mem_total_MB,flops_interp,flops_mover,flops_total,avg_deletions_per_iter
100,500,200,0.001,0.000424147,2.57492e-05,0.000449896,4.49896e-07,0.00228882,0.762939,0.765228,24000,8000,32000,0.3
10000,500,200,0.1,0.00277686,0.00238395,0.00516081,5.16081e-08,0.228882,0.762939,0.991821,2.4e+06,800000,3.2e+06,16.6
1000000,500,200,10,0.253798,0.241634,0.495432,4.95432e-08,22.8882,0.762939,23.6511,2.4e+08,8e+07,3.2e+08,1659.6
100000000,500,200,1000,26.2974,24.3922,50.6896,5.06896e-08,2288.82,0.762939,2289.58,2.4e+10,8e+09,3.2e+10,167577
1000000000,500,200,10000,248.888,239.929,488.817,4.88817e-08,22888.2,0.762939,22888.9,2.4e+11,8e+10,3.2e+11,1.67579e+06
