Nx,Ny,np,num_threads,t_interp_s,t_mover_plain_s,t_mover_with_del_s,t_total_s,speedup_plain,speedup_with_del
500,200,14000000,1,6.26657,3.50486,3.576,9.84257,1,1
500,200,14000000,2,6.56819,1.85841,1.89916,8.46735,1.88594,1.88293
500,200,14000000,4,3.90134,0.957243,0.974343,4.87568,3.66141,3.67017
500,200,14000000,8,2.43646,0.535611,0.547226,2.98368,6.54367,6.53477
500,200,14000000,16,1.7613,0.430519,0.447765,2.20906,8.14101,7.98633
